data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00283	0.63569	0.80876	0.87949	0.73127	0.92588	0.9815	0.7399	0.9239	0.81314	0.82276	0.81095	1.0	0.91111	0.8198	0.90452	0.83925	0.93056	0.90386	0.94371	0.6544	0.78121	0.75613	0.91494	0.92538	0.877	0.81832	0.675	0.83629	0.78609	0.88385	0.92982	0.94187	0.96058	0.87444	0.67384	0.89907	0.83259	0.78864	0.71935	0.97854	0.91185	0.90742	0.78535	0.84221	0.91037	0.69255	0.83629	0.69329	0.91259	0.84147	0.94335	0.75075	0.77943	0.81906	0.93067	0.87518	0.80183	0.72521	0.74941	0.63865	
D00293	0.6746	0.75763	0.81703	0.68793	0.86744	0.9087	0.69582	0.96127	0.75708	0.87937	0.76037	0.91166	1.0	0.87937	0.83908	0.78252	0.96449	0.79316	0.87885	0.69723	0.73246	0.71047	0.80488	0.96127	0.81578	0.76335	0.63557	0.89785	0.84074	0.81578	0.95966	0.94431	0.92753	0.93897	0.71904	0.95912	0.89868	0.73684	0.67519	0.90796	0.98092	0.9776	0.84654	0.902	0.97511	0.73835	0.89702	0.7425	0.98092	0.89785	0.93962	0.70542	0.83493	0.88268	0.86333	0.93814	0.8642	0.68077	0.79796	0.67792	
D00294	0.74009	0.68837	0.74144	0.63017	0.78771	0.82103	0.63942	0.86345	0.68947	0.97653	0.69275	0.82103	0.88013	1.0	0.75859	0.71409	0.86506	0.76641	0.79357	0.76579	0.67177	0.65303	0.7768	0.86345	0.74455	0.69771	0.58737	0.9546	0.93198	0.74268	0.86426	0.84772	0.83515	0.91496	0.79051	0.89615	0.95271	0.67656	0.62291	0.81955	0.88013	0.88428	0.92905	0.95365	0.88096	0.81327	0.95271	0.8123	0.88096	0.9546	0.8485	0.64418	0.93003	0.97653	0.78361	0.91673	0.95377	0.62625	0.88157	0.744	
D00303	0.59797	0.87255	0.95259	0.78764	0.94618	0.90065	0.79819	0.84991	0.87912	0.75951	0.87638	0.90391	0.83799	0.7569	1.0	0.91293	0.85382	0.97719	0.93101	0.6164	0.845	0.81747	0.96201	0.85121	0.95135	0.89179	0.7236	0.77598	0.73176	0.95073	0.85708	0.86509	0.88417	0.80894	0.63027	0.82803	0.77273	0.85786	0.77836	0.89805	0.83995	0.83799	0.73046	0.77924	0.84321	0.64806	0.77338	0.65001	0.84516	0.78055	0.86704	0.80862	0.72394	0.75755	0.95075	0.80503	0.74563	0.78247	0.69684	0.60057	
D00319	0.56594	0.93852	0.9366	0.84355	0.87827	0.83875	0.85411	0.79341	0.93961	0.7132	0.93961	0.83817	0.78101	0.71204	0.91239	1.0	0.79516	0.90773	0.86588	0.58416	0.90517	0.87393	0.89242	0.79516	0.93893	0.95184	0.77101	0.72793	0.6855	0.94126	0.79749	0.80639	0.82228	0.75622	0.60063	0.76978	0.72327	0.92183	0.82974	0.83992	0.78392	0.78334	0.68608	0.72793	0.78392	0.61303	0.72851	0.61536	0.78451	0.72677	0.81338	0.86457	0.68317	0.71087	0.8806	0.75447	0.70139	0.83653	0.65546	0.56943	
D00326	0.66381	0.76973	0.83327	0.69726	0.88051	0.92579	0.70719	0.97907	0.76918	0.86417	0.77411	0.93097	0.96434	0.86417	0.85479	0.79656	1.0	0.86	0.89647	0.68498	0.74697	0.72421	0.87201	0.97665	0.83016	0.77626	0.64672	0.87889	0.82506	0.83264	0.97665	0.96081	0.9413	0.92202	0.70694	0.94077	0.87969	0.75163	0.68825	0.92727	0.9579	0.96032	0.82828	0.88211	0.96032	0.72569	0.88211	0.72811	0.96193	0.8813	0.9569	0.71939	0.82104	0.86256	0.88256	0.92363	0.84703	0.69268	0.78435	0.66623	
D00329	0.59797	0.87747	0.95073	0.78718	0.94879	0.90131	0.79771	0.85447	0.87528	0.76602	0.88021	0.90326	0.79304	0.76472	0.97719	0.90827	0.85904	1.0	0.93296	0.6151	0.84448	0.8165	0.97896	0.85447	0.94761	0.88452	0.724	0.77273	0.73241	0.95135	0.85578	0.86965	0.88222	0.80764	0.63093	0.82608	0.77207	0.8526	0.77567	0.90131	0.83865	0.8393	0.73306	0.77664	0.8406	0.64806	0.77598	0.65066	0.83995	0.77598	0.86835	0.81006	0.72655	0.76016	0.94814	0.81481	0.74824	0.78064	0.69619	0.60122	
D00331	0.61958	0.83406	0.90263	0.75224	0.96366	0.94204	0.76454	0.89371	0.83515	0.79776	0.8357	0.94345	0.87807	0.79214	0.93137	0.86674	0.89582	0.93332	1.0	0.63943	0.80766	0.78115	0.94712	0.90284	0.90388	0.84581	0.69571	0.812	0.76086	0.9045	0.89442	0.90936	0.9271	0.84749	0.65648	0.86243	0.80708	0.81401	0.74232	0.94204	0.87807	0.87948	0.76156	0.8127	0.87807	0.67353	0.80989	0.67844	0.88018	0.81059	0.91637	0.77294	0.75524	0.79355	0.96503	0.8496	0.78141	0.74766	0.73098	0.62169	
D00332	0.94484	0.56962	0.60588	0.53046	0.63654	0.65612	0.53469	0.68802	0.56798	0.76546	0.57127	0.65686	0.69938	0.76742	0.61917	0.58718	0.68721	0.61787	0.64203	1.0	0.55768	0.54505	0.62598	0.68802	0.60276	0.57598	0.49973	0.7508	0.80449	0.60525	0.68641	0.67652	0.67174	0.72697	0.94648	0.71146	0.75646	0.5608	0.52513	0.6576	0.70021	0.69772	0.80659	0.75363	0.69606	0.92413	0.75741	0.91892	0.69855	0.75363	0.67495	0.53954	0.80343	0.76742	0.63107	0.72432	0.78932	0.52912	0.83975	0.9506	
D00335	0.5393	0.93913	0.868	0.91017	0.83023	0.78123	0.91858	0.74309	0.94016	0.66628	0.94119	0.77968	0.73055	0.66938	0.84395	0.9046	0.74515	0.84343	0.80632	0.55443	1.0	0.96075	0.83141	0.74464	0.86697	0.92968	0.826	0.68141	0.64171	0.86542	0.74257	0.7546	0.77334	0.70598	0.56645	0.71542	0.68141	0.96318	0.89418	0.78175	0.7321	0.72951	0.64223	0.67831	0.72951	0.579	0.68244	0.579	0.73055	0.67882	0.75666	0.93065	0.63913	0.66886	0.81835	0.70546	0.65477	0.90113	0.61559	0.54085	
D00336	0.52544	0.90775	0.83848	0.94186	0.75826	0.75539	0.95129	0.72075	0.9102	0.64708	0.90922	0.75441	0.70839	0.6505	0.81621	0.87312	0.72222	0.81523	0.77962	0.54171	0.96048	1.0	0.80336	0.72124	0.83946	0.89833	0.85508	0.66042	0.6248	0.83604	0.71928	0.73164	0.74791	0.68514	0.5526	0.69407	0.66139	0.93296	0.92573	0.75636	0.70839	0.70692	0.6248	0.66091	0.70741	0.56496	0.66286	0.56496	0.7079	0.65993	0.73262	0.96393	0.62236	0.64855	0.79149	0.68416	0.63619	0.93366	0.59911	0.52886	
D00338	0.60504	0.86373	0.93511	0.776	0.96242	0.91378	0.78587	0.86714	0.86099	0.77586	0.86537	0.91444	0.80488	0.7752	0.96213	0.89307	0.87114	0.97908	0.94687	0.62326	0.83255	0.80471	1.0	0.86714	0.932	0.8705	0.71444	0.78406	0.73809	0.93511	0.86781	0.88268	0.89556	0.81783	0.63814	0.83805	0.7834	0.83939	0.76395	0.91378	0.85026	0.85092	0.74277	0.78674	0.85159	0.65569	0.78674	0.65903	0.85293	0.7854	0.88135	0.79897	0.73609	0.76985	0.96175	0.82317	0.75831	0.76919	0.70366	0.60705	
D00340	0.66542	0.76973	0.83078	0.69633	0.88256	0.92431	0.70814	0.97746	0.76699	0.86578	0.76973	0.92579	0.96112	0.86256	0.85218	0.79656	0.97665	0.85544	0.90349	0.68578	0.74645	0.72323	0.868	1.0	0.82767	0.77905	0.64592	0.88211	0.82345	0.83016	0.97423	0.95925	0.9413	0.92121	0.70614	0.94077	0.87889	0.75374	0.69004	0.92357	0.9579	0.9579	0.82587	0.8805	0.9579	0.72489	0.8813	0.7265	0.96032	0.8805	0.96785	0.71363	0.82023	0.86095	0.88256	0.92443	0.84623	0.69222	0.78918	0.66623	
D00345	0.58478	0.89784	0.97511	0.80908	0.91779	0.87433	0.82188	0.82838	0.90058	0.73773	0.90058	0.8762	0.81452	0.74271	0.95112	0.93925	0.829	0.94738	0.9033	0.59989	0.86783	0.84055	0.93165	0.82652	1.0	0.91313	0.74114	0.75471	0.70938	0.97698	0.82963	0.84349	0.86109	0.78741	0.61748	0.79879	0.75097	0.87955	0.79775	0.87246	0.8139	0.81763	0.71125	0.75719	0.81514	0.63384	0.75471	0.63259	0.81514	0.75346	0.84598	0.83081	0.70814	0.7396	0.91717	0.78243	0.72387	0.80309	0.67543	0.58727	
D00349	0.55484	0.96545	0.91094	0.86591	0.85723	0.81708	0.87733	0.77359	0.96655	0.69722	0.96491	0.81708	0.7617	0.69554	0.89106	0.95164	0.77471	0.8838	0.84478	0.57288	0.93007	0.89896	0.86968	0.7775	0.91261	1.0	0.78775	0.70799	0.66841	0.91317	0.7775	0.78716	0.80072	0.73624	0.58701	0.7526	0.70631	0.95299	0.85362	0.81932	0.76338	0.7617	0.67008	0.70967	0.76561	0.60113	0.71078	0.60281	0.76449	0.71078	0.79051	0.88628	0.66673	0.69442	0.8589	0.7368	0.68533	0.8567	0.64183	0.55987	
D00351	0.48722	0.7983	0.74168	0.88223	0.70116	0.67265	0.87339	0.64256	0.80108	0.58634	0.79949	0.67265	0.63293	0.58436	0.72162	0.76939	0.64415	0.72202	0.69351	0.49606	0.82482	0.85412	0.71238	0.64335	0.7393	0.78628	1.0	0.59399	0.56548	0.74049	0.64534	0.6518	0.65984	0.61524	0.5049	0.62488	0.59201	0.81439	0.90031	0.67226	0.63332	0.63451	0.56509	0.59637	0.63372	0.51612	0.59439	0.51692	0.63332	0.59518	0.65219	0.86772	0.5635	0.58396	0.70076	0.61604	0.57671	0.89187	0.54542	0.48603	
D00354	0.72424	0.69883	0.75581	0.64135	0.79805	0.84108	0.65174	0.88124	0.70321	0.95348	0.7043	0.83738	0.89847	0.95442	0.77755	0.72987	0.87963	0.77429	0.81329	0.74905	0.6837	0.66286	0.78555	0.88285	0.75643	0.71006	0.59693	1.0	0.91046	0.75581	0.88124	0.86501	0.85195	0.93448	0.77292	0.91676	0.98018	0.68715	0.63283	0.83664	0.90012	0.8993	0.90857	0.97546	0.8993	0.7949	0.97357	0.79962	0.90178	0.97829	0.86422	0.65624	0.90669	0.95914	0.8001	0.93359	0.93055	0.63588	0.86745	0.72424	
D00358	0.77545	0.66417	0.71518	0.6092	0.74857	0.78611	0.61525	0.82142	0.66472	0.93332	0.66582	0.78759	0.84181	0.93235	0.73369	0.68776	0.82625	0.73434	0.76255	0.80312	0.64429	0.62752	0.73995	0.82464	0.71145	0.67078	0.56864	0.91099	1.0	0.71394	0.82786	0.80689	0.79621	0.87593	0.82553	0.8609	0.90721	0.65014	0.60128	0.78315	0.84181	0.84264	0.97999	0.91193	0.84098	0.85847	0.91287	0.86163	0.84347	0.91382	0.80689	0.62296	0.97473	0.93235	0.75267	0.87417	0.95833	0.60563	0.92991	0.78071	
D00364	0.58416	0.90058	0.97698	0.81	0.91717	0.87682	0.81952	0.82714	0.90386	0.74457	0.90058	0.88304	0.81452	0.74084	0.9505	0.94158	0.83149	0.95112	0.90393	0.60238	0.86628	0.83712	0.93476	0.829	0.97698	0.91369	0.74233	0.75408	0.71187	1.0	0.83149	0.84349	0.85736	0.78555	0.61873	0.8075	0.74973	0.87797	0.79685	0.8762	0.81576	0.81576	0.71062	0.75595	0.81452	0.63259	0.75471	0.6357	0.81825	0.75906	0.84474	0.83129	0.70689	0.73835	0.91779	0.78866	0.72698	0.80263	0.68103	0.58665	
D00367	0.66542	0.76809	0.84011	0.69819	0.87709	0.92949	0.70672	0.97665	0.7752	0.86658	0.77247	0.93023	0.95951	0.86336	0.85805	0.79889	0.97665	0.85674	0.89506	0.68417	0.74439	0.72127	0.86867	0.97423	0.83078	0.77905	0.64791	0.8805	0.82667	0.83264	1.0	0.95925	0.93825	0.92685	0.70372	0.94318	0.87889	0.75163	0.68735	0.92801	0.95951	0.96112	0.82587	0.88694	0.96193	0.72328	0.87808	0.72811	0.96354	0.88372	0.95847	0.71459	0.82104	0.86175	0.88393	0.92282	0.84542	0.69177	0.78515	0.66381	
D00373	0.65364	0.78073	0.8439	0.70983	0.897	0.94362	0.71668	0.97475	0.78457	0.84671	0.78347	0.94214	0.94402	0.84671	0.86593	0.80768	0.96067	0.87049	0.90987	0.6742	0.75632	0.73354	0.88343	0.95911	0.84453	0.7886	0.65429	0.86414	0.80559	0.84453	0.95911	1.0	0.95962	0.90212	0.69319	0.92034	0.8657	0.76221	0.69682	0.94732	0.94089	0.94089	0.80794	0.86336	0.94011	0.71219	0.86179	0.71141	0.93777	0.86179	0.97732	0.72664	0.80716	0.84749	0.89564	0.90369	0.8238	0.70322	0.76682	0.65521	
D00379	0.64784	0.79228	0.8589	0.72055	0.91692	0.95849	0.72805	0.9433	0.79393	0.82794	0.79557	0.96071	0.92711	0.83402	0.8849	0.82347	0.94102	0.88294	0.92749	0.66935	0.77496	0.74972	0.89618	0.94102	0.86201	0.80207	0.66227	0.85097	0.79481	0.85828	0.93797	0.95948	1.0	0.89018	0.68629	0.90104	0.85629	0.77437	0.70898	0.95923	0.92255	0.92255	0.79785	0.85021	0.92103	0.70552	0.85401	0.70476	0.92407	0.84792	0.9572	0.7363	0.79329	0.8363	0.91007	0.88486	0.81327	0.71604	0.75864	0.6486	
D00380	0.70091	0.73124	0.79202	0.66464	0.83377	0.8723	0.67401	0.92086	0.73124	0.91447	0.73398	0.87526	0.93928	0.91447	0.81027	0.75794	0.92247	0.80897	0.84853	0.725	0.70808	0.6874	0.81906	0.92166	0.78891	0.7381	0.61803	0.93415	0.87512	0.78704	0.9273	0.9027	0.89088	1.0	0.74645	0.95971	0.93415	0.71357	0.6567	0.87452	0.94094	0.93845	0.88306	0.94563	0.93845	0.76789	0.93768	0.76966	0.94426	0.93503	0.9027	0.68179	0.87158	0.91624	0.83514	0.97616	0.89833	0.66106	0.83223	0.70268	
D00392	0.91573	0.58227	0.61962	0.54025	0.65098	0.67543	0.54748	0.70742	0.58172	0.78609	0.58391	0.67617	0.72103	0.79196	0.63293	0.60354	0.70903	0.63358	0.65895	0.94623	0.56961	0.55586	0.64073	0.70822	0.62025	0.59	0.5085	0.77449	0.8267	0.62149	0.70581	0.69537	0.68854	0.74825	1.0	0.72951	0.77355	0.57402	0.53684	0.67839	0.71937	0.72186	0.83196	0.77544	0.71606	0.95425	0.77921	0.94251	0.72103	0.77261	0.69771	0.55015	0.82986	0.79391	0.64961	0.74118	0.80868	0.54057	0.86723	0.91847	
D00394	0.68777	0.74389	0.80639	0.67536	0.8441	0.89383	0.68397	0.93865	0.74717	0.90493	0.74608	0.89975	0.95927	0.89552	0.82924	0.7714	0.94106	0.82728	0.86334	0.7094	0.71743	0.69624	0.83916	0.94106	0.80017	0.75436	0.62759	0.91629	0.85996	0.80888	0.94348	0.92077	0.9016	0.95955	0.72761	1.0	0.91287	0.72784	0.66662	0.89235	0.96093	0.96093	0.8591	0.91886	0.9601	0.75095	0.91715	0.75437	0.96425	0.92399	0.92233	0.69288	0.85226	0.89637	0.85232	0.96297	0.87816	0.66978	0.81755	0.68948	
D00418	0.72896	0.69938	0.7527	0.64321	0.80284	0.83442	0.6489	0.88205	0.70102	0.95064	0.70102	0.83368	0.8993	0.95253	0.77429	0.72521	0.88044	0.77364	0.80838	0.75472	0.6837	0.66384	0.78488	0.87963	0.7527	0.70838	0.59494	0.98018	0.90669	0.75145	0.87963	0.86657	0.85727	0.93448	0.77198	0.91334	1.0	0.68767	0.63417	0.8359	0.89847	0.89681	0.91046	0.97357	0.89598	0.79585	0.97357	0.7949	0.8993	0.97451	0.86344	0.6548	0.90574	0.95442	0.79531	0.93359	0.9315	0.63679	0.86084	0.72613	
D00437	0.54059	0.9539	0.87614	0.89807	0.82658	0.78771	0.90957	0.7483	0.95285	0.67423	0.95179	0.78718	0.73499	0.67423	0.85689	0.92134	0.74988	0.85163	0.81275	0.55759	0.96328	0.93332	0.83832	0.75199	0.87877	0.9527	0.81564	0.68491	0.64761	0.87719	0.74988	0.76056	0.77282	0.71153	0.5709	0.72589	0.68543	1.0	0.88324	0.78981	0.7371	0.73604	0.64919	0.68648	0.73867	0.58474	0.68806	0.58579	0.73815	0.68754	0.76424	0.92052	0.64655	0.67212	0.82711	0.71258	0.66355	0.89014	0.62204	0.54586	
D00438	0.5067	0.85813	0.79409	0.95487	0.75005	0.7178	0.94532	0.68376	0.85948	0.62017	0.85948	0.71736	0.67287	0.62017	0.77678	0.82858	0.68601	0.77409	0.7405	0.52164	0.89352	0.92531	0.76229	0.6878	0.79633	0.85262	0.9009	0.63017	0.59838	0.79544	0.68511	0.69466	0.70691	0.65421	0.53344	0.66421	0.63152	0.88274	1.0	0.71915	0.67511	0.67331	0.59972	0.63197	0.67556	0.54344	0.63376	0.54478	0.67601	0.63152	0.69735	0.93397	0.59748	0.61927	0.75274	0.65331	0.61107	0.96442	0.57568	0.51029	
D00451	0.63939	0.80986	0.87514	0.73127	0.92794	0.9778	0.74226	0.92982	0.80822	0.8198	0.80822	0.97854	0.90742	0.81832	0.89865	0.841	0.92686	0.90191	0.9423	0.65514	0.78328	0.75808	0.91427	0.92316	0.87327	0.82056	0.67461	0.83555	0.78165	0.877	0.9276	0.94705	0.9591	0.8737	0.67606	0.89167	0.83481	0.79127	0.72114	1.0	0.9052	0.9089	0.78239	0.83777	0.90816	0.69181	0.83407	0.69329	0.9089	0.83555	0.94039	0.74787	0.77943	0.81758	0.93136	0.87296	0.80035	0.72567	0.74405	0.63569	
D00456	0.67377	0.75982	0.81641	0.68747	0.86333	0.91092	0.69629	0.95805	0.75818	0.88268	0.75818	0.9124	0.98092	0.87937	0.84103	0.78543	0.95805	0.83973	0.87885	0.69806	0.73401	0.71047	0.85124	0.95805	0.81516	0.76503	0.63596	0.89951	0.84074	0.81703	0.95966	0.94118	0.92297	0.94063	0.71738	0.96078	0.89785	0.73895	0.67743	0.90574	1.0	0.9776	0.84488	0.90366	0.9776	0.73918	0.89868	0.73918	0.9776	0.89951	0.93962	0.70446	0.83493	0.88103	0.86607	0.94395	0.8642	0.68077	0.80045	0.67875	
D00464	0.67543	0.7538	0.8189	0.68654	0.8647	0.9087	0.69723	0.95725	0.75599	0.88268	0.75872	0.90796	0.9776	0.88351	0.83908	0.78485	0.96047	0.84038	0.88026	0.69557	0.73142	0.709	0.85191	0.95805	0.8189	0.76335	0.63715	0.89868	0.84157	0.81703	0.96127	0.94118	0.92297	0.93814	0.71987	0.96078	0.89619	0.73789	0.67564	0.90944	0.9776	1.0	0.83825	0.89702	0.97843	0.73918	0.89951	0.73835	0.98009	0.89868	0.94197	0.70253	0.83742	0.87937	0.86607	0.94229	0.85756	0.68032	0.79962	0.67875	
D00474	0.7765	0.66636	0.71332	0.60827	0.75199	0.78463	0.61714	0.82384	0.66363	0.93332	0.66746	0.78685	0.84762	0.92941	0.73239	0.68834	0.82948	0.73499	0.76325	0.80523	0.64481	0.62752	0.74462	0.82706	0.71332	0.67246	0.56824	0.9091	0.97999	0.7127	0.82706	0.80924	0.79926	0.88388	0.8308	0.86005	0.91099	0.65172	0.60263	0.78389	0.84596	0.83932	1.0	0.92043	0.83932	0.85636	0.91476	0.86058	0.84679	0.91382	0.80768	0.6244	0.97368	0.93039	0.75267	0.8777	0.96137	0.60472	0.93202	0.78071	
D00477	0.72708	0.7054	0.75954	0.64228	0.79736	0.83886	0.64985	0.88124	0.7054	0.95253	0.70978	0.8433	0.90261	0.95348	0.78081	0.72987	0.88285	0.7782	0.814	0.75189	0.6806	0.66335	0.78822	0.88124	0.75892	0.71173	0.59931	0.97546	0.91141	0.75768	0.88769	0.86422	0.85119	0.94596	0.77387	0.91933	0.97357	0.68872	0.63462	0.83886	0.90427	0.89764	0.9199	1.0	0.90178	0.79962	0.98301	0.80245	0.90261	0.97923	0.86344	0.65912	0.90952	0.95442	0.79942	0.93448	0.93622	0.63816	0.86556	0.73274	
