data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00182	0.61069	0.75132	0.74977	0.91007	0.86656	0.46463	0.78734	0.62309	0.6835	0.61283	1.0	0.60542	0.61637	0.56001	0.70982	0.39676	0.59411	0.61604	0.43034	0.78191	0.46463	0.60007	0.73236	0.39231	0.85569	0.37566	0.40136	0.68972	0.39608	0.34368	0.29429	0.68624	0.38589	0.3895	0.61609	0.98462	0.70298	0.98462	0.88886	0.36839	0.36974	0.39393	0.59125	0.37582	0.59737	0.75998	0.60909	0.6403	0.35618	0.71524	0.35918	0.89965	0.76811	0.44767	
D00187	0.64065	0.60638	0.53195	0.58362	0.59083	0.51834	0.51258	0.78687	0.60677	0.57689	0.58653	1.0	0.89708	0.54897	0.58945	0.38748	0.94404	0.51424	0.48369	0.615	0.5232	0.59617	0.60683	0.37403	0.53275	0.43728	0.41343	0.53351	0.40183	0.41907	0.35477	0.55959	0.34913	0.42121	0.77983	0.60217	0.56821	0.60217	0.54887	0.39193	0.38812	0.40012	0.60414	0.39787	0.54357	0.59506	0.63144	0.64636	0.35633	0.57714	0.38942	0.62194	0.49395	0.42821	
D00188	0.73458	0.5971	0.54467	0.60458	0.62092	0.51794	0.52221	0.83597	0.61193	0.60127	0.60795	0.91307	1.0	0.52226	0.60673	0.38624	0.86125	0.51611	0.47777	0.63444	0.52359	0.58839	0.61438	0.37355	0.54559	0.43251	0.41342	0.52014	0.40579	0.40577	0.34267	0.5571	0.36469	0.40242	0.78574	0.61024	0.61252	0.61024	0.59913	0.37138	0.40194	0.40089	0.57357	0.4012	0.57363	0.59817	0.65762	0.64987	0.33724	0.61318	0.34591	0.6046	0.49157	0.45638	
D00211	0.50264	0.46524	0.42439	0.4771	0.4998	0.43527	0.44474	0.51383	0.48935	0.54675	0.49114	0.49195	0.45709	1.0	0.55098	0.34597	0.49351	0.43246	0.41951	0.50316	0.43527	0.53876	0.47886	0.3643	0.45374	0.38645	0.37558	0.46307	0.38726	0.4058	0.37583	0.56952	0.34154	0.37826	0.53713	0.49087	0.53015	0.49087	0.52343	0.39357	0.43776	0.40901	0.55931	0.37397	0.49154	0.47451	0.50055	0.51934	0.40437	0.52431	0.38349	0.48207	0.48577	0.26351	
D00246	0.60829	0.66569	0.53161	0.65216	0.73304	0.46888	0.54954	0.55558	0.62211	0.61745	0.67887	0.57653	0.57961	0.60059	1.0	0.38435	0.56405	0.52243	0.45216	0.67741	0.46888	0.61886	0.60209	0.37519	0.58936	0.40129	0.37564	0.64471	0.4027	0.39836	0.3564	0.77702	0.35585	0.37599	0.53986	0.68998	0.61737	0.68998	0.63228	0.40714	0.39051	0.40214	0.58718	0.39359	0.51993	0.65995	0.59824	0.62921	0.37327	0.76925	0.36754	0.6363	0.56852	0.36746	
D00279	0.45278	0.48558	0.46877	0.45528	0.46281	0.48376	0.46128	0.47306	0.46674	0.46217	0.46216	0.46305	0.45532	0.4415	0.46186	1.0	0.46554	0.45532	0.66644	0.49458	0.48376	0.49378	0.48558	0.66831	0.45483	0.74461	0.66483	0.49687	0.50827	0.57944	0.52898	0.49606	0.69991	0.62406	0.48299	0.46071	0.46203	0.46071	0.48798	0.61249	0.57764	0.54825	0.48282	0.66942	0.49719	0.48022	0.45211	0.47362	0.54527	0.49085	0.55347	0.46071	0.47667	0.44573	
D00299	0.66441	0.62713	0.50919	0.60546	0.57468	0.51265	0.55424	0.78483	0.62751	0.58331	0.57058	0.93851	0.84049	0.54757	0.5718	0.38803	1.0	0.49232	0.48668	0.63295	0.51265	0.60745	0.62756	0.37761	0.51935	0.43545	0.40572	0.52008	0.39467	0.42051	0.35209	0.53952	0.34448	0.41312	0.7957	0.58548	0.54936	0.58548	0.55578	0.38524	0.39805	0.39304	0.63163	0.3909	0.52791	0.62099	0.60657	0.65194	0.35134	0.56757	0.38285	0.6043	0.54395	0.41979	
D00312	0.54469	0.56836	0.77202	0.64583	0.597	0.41189	0.71536	0.4917	0.55463	0.56516	0.61773	0.53023	0.51611	0.49615	0.54955	0.38624	0.51308	1.0	0.37736	0.55202	0.41189	0.49918	0.54667	0.4052	0.68726	0.43542	0.42488	0.49905	0.40288	0.42887	0.35431	0.51807	0.38762	0.42243	0.50246	0.63898	0.56107	0.63898	0.56612	0.36574	0.38582	0.40194	0.49198	0.37827	0.49345	0.5667	0.60633	0.56288	0.35374	0.57173	0.40868	0.58186	0.72411	0.38762	
D00316	0.47513	0.50925	0.40902	0.42492	0.49433	0.5406	0.38408	0.54095	0.492	0.48667	0.45214	0.52438	0.50642	0.4906	0.50028	0.61277	0.53097	0.406	1.0	0.51347	0.5406	0.49809	0.48814	0.52377	0.39312	0.55341	0.5576	0.54001	0.39903	0.54418	0.43259	0.50151	0.50815	0.56207	0.51738	0.47208	0.4853	0.47208	0.46888	0.49399	0.54097	0.3778	0.50108	0.5491	0.47938	0.5148	0.47781	0.53247	0.52306	0.55009	0.42462	0.46937	0.44221	0.49295	
D00327	0.65231	0.78266	0.61437	0.76718	0.72892	0.46306	0.64541	0.63928	0.70815	0.6839	0.77045	0.62372	0.63117	0.56685	0.70195	0.42416	0.64679	0.53892	0.48236	1.0	0.46306	0.63198	0.8156	0.4007	0.66813	0.39983	0.38941	0.69618	0.42089	0.39311	0.32879	0.74186	0.37264	0.38703	0.63094	0.75637	0.67313	0.75637	0.74252	0.39594	0.37657	0.43558	0.60947	0.40812	0.57883	0.76708	0.61027	0.75761	0.37365	0.78743	0.35139	0.68689	0.66399	0.45061	
D00348	0.51056	0.48817	0.405	0.49085	0.53694	0.98318	0.42038	0.56125	0.47499	0.48439	0.49551	0.57116	0.56066	0.51673	0.52443	0.43676	0.56387	0.44896	0.55178	0.50236	1.0	0.53099	0.47243	0.42641	0.45419	0.43339	0.43901	0.50305	0.42353	0.46958	0.39112	0.52303	0.40086	0.46051	0.58711	0.49354	0.52343	0.49354	0.48732	0.44183	0.49194	0.43898	0.52321	0.45044	0.51402	0.4827	0.50775	0.52659	0.43368	0.52486	0.40021	0.50262	0.47595	0.53777	
D00443	0.61973	0.6225	0.50352	0.55796	0.56765	0.47978	0.5157	0.56279	0.63931	0.58965	0.57239	0.59063	0.56763	0.59282	0.62661	0.41627	0.60745	0.47842	0.4538	0.61399	0.47978	1.0	0.60546	0.39643	0.53729	0.43321	0.37509	0.51066	0.40872	0.43948	0.33326	0.64515	0.35389	0.37547	0.56062	0.57906	0.60078	0.57906	0.57163	0.4229	0.42629	0.4017	0.87844	0.40973	0.49521	0.62577	0.69832	0.60261	0.3866	0.60241	0.383	0.60969	0.48509	0.41979	
D00462	0.74678	0.82819	0.65109	0.77946	0.714	0.44291	0.6767	0.63526	0.80071	0.79154	0.73417	0.62718	0.62449	0.54847	0.63697	0.42099	0.65248	0.54667	0.46784	0.8287	0.44291	0.63314	1.0	0.39454	0.64911	0.40592	0.36608	0.69468	0.38582	0.37981	0.29796	0.62927	0.38803	0.3634	0.6342	0.72288	0.67162	0.72288	0.68043	0.38898	0.37776	0.40556	0.62312	0.39354	0.57746	0.80727	0.66002	0.6654	0.37469	0.71256	0.36706	0.64699	0.66583	0.43823	
D00506	0.43102	0.45544	0.45063	0.45983	0.45852	0.46847	0.44449	0.46899	0.4414	0.45174	0.45407	0.44669	0.43927	0.45835	0.45141	0.66056	0.45235	0.47092	0.57296	0.46784	0.46847	0.47118	0.45544	1.0	0.4392	0.66412	0.61632	0.54195	0.46879	0.63115	0.57165	0.49491	0.63737	0.6111	0.46066	0.46491	0.47242	0.46491	0.55739	0.59658	0.56839	0.62644	0.47078	0.53157	0.50667	0.46344	0.4482	0.44672	0.53284	0.4645	0.53756	0.46491	0.49186	0.43278	
D00554	0.57188	0.64313	0.88312	0.78479	0.76984	0.43214	0.92457	0.60986	0.62669	0.58712	0.86659	0.56036	0.56412	0.52705	0.62807	0.3947	0.55119	0.69568	0.3811	0.68942	0.43214	0.5719	0.65833	0.38307	1.0	0.4227	0.47486	0.63127	0.41125	0.34305	0.37918	0.60953	0.41343	0.46848	0.58992	0.85326	0.63822	0.85326	0.77502	0.36707	0.39357	0.42251	0.58235	0.40578	0.56658	0.65154	0.5965	0.57462	0.41254	0.63887	0.39434	0.81676	0.79299	0.4407	
D00565	0.45933	0.44666	0.40818	0.39789	0.43238	0.43586	0.43796	0.47461	0.43015	0.45447	0.40836	0.48669	0.47127	0.46865	0.45813	0.70164	0.48805	0.47418	0.56906	0.44077	0.43586	0.48581	0.43729	0.62368	0.44675	1.0	0.69658	0.48408	0.5648	0.60757	0.57926	0.53044	0.55882	0.67571	0.50303	0.40773	0.47045	0.40773	0.51319	0.71173	0.68597	0.63578	0.47554	0.60428	0.50059	0.45201	0.46322	0.50834	0.60384	0.4692	0.59039	0.43207	0.46997	0.42129	
D00577	0.42842	0.41776	0.48222	0.42026	0.45307	0.46869	0.48838	0.46141	0.41477	0.44032	0.45404	0.47883	0.47071	0.46593	0.44669	0.64157	0.47355	0.48217	0.59561	0.44836	0.46869	0.44291	0.41776	0.59971	0.52097	0.72438	1.0	0.49946	0.51953	0.61746	0.58781	0.4929	0.61596	0.87433	0.4723	0.45272	0.45335	0.45272	0.49159	0.64851	0.58176	0.5383	0.43638	0.62827	0.49148	0.41853	0.42617	0.46252	0.56256	0.45956	0.63112	0.45272	0.49183	0.45207	
D00585	0.58866	0.69865	0.55601	0.6297	0.66634	0.45964	0.56178	0.50739	0.62811	0.58803	0.67732	0.54077	0.51084	0.5238	0.66409	0.42866	0.53254	0.48975	0.50435	0.69463	0.45964	0.52312	0.68072	0.47374	0.60957	0.43912	0.43745	1.0	0.38809	0.45417	0.38274	0.67307	0.42425	0.42733	0.52408	0.694	0.59212	0.694	0.6768	0.40664	0.44208	0.38358	0.5545	0.41031	0.55669	0.67336	0.54825	0.62667	0.39512	0.71946	0.38807	0.62823	0.53185	0.41938	
D00586	0.44515	0.42273	0.42522	0.42882	0.4707	0.43343	0.43561	0.47556	0.41945	0.47119	0.43423	0.45561	0.4496	0.47168	0.46342	0.46771	0.45142	0.44669	0.41915	0.46674	0.43343	0.46547	0.42273	0.43363	0.44132	0.57238	0.4979	0.4377	1.0	0.48753	0.49745	0.4745	0.51604	0.48492	0.45502	0.4332	0.46665	0.4332	0.43502	0.58817	0.52685	0.90082	0.45697	0.53316	0.46885	0.42023	0.43004	0.48938	0.52094	0.46787	0.47366	0.44537	0.47658	0.41475	
D00596	0.42442	0.42217	0.38794	0.34916	0.41679	0.44918	0.3711	0.43954	0.41011	0.43673	0.3564	0.4525	0.42599	0.47911	0.44099	0.51621	0.45788	0.44909	0.5299	0.41604	0.44918	0.47685	0.39088	0.57608	0.34505	0.58513	0.57259	0.48208	0.45898	1.0	0.49653	0.48782	0.48564	0.56873	0.46848	0.36275	0.44475	0.36275	0.47672	0.49417	0.69446	0.46361	0.49134	0.51009	0.49439	0.42863	0.47346	0.485	0.58545	0.44504	0.3834	0.36275	0.44792	0.44402	
D00627	0.37113	0.30598	0.38665	0.30655	0.34994	0.36299	0.38393	0.38368	0.30967	0.37525	0.29792	0.38093	0.35446	0.44618	0.39257	0.46522	0.38254	0.36611	0.41384	0.34353	0.36299	0.36371	0.2998	0.51164	0.37168	0.55113	0.53718	0.40289	0.4637	0.48716	1.0	0.42119	0.454	0.52797	0.37779	0.31116	0.3685	0.31116	0.40038	0.44889	0.50033	0.46472	0.38126	0.52661	0.42058	0.31773	0.38557	0.40591	0.51252	0.38001	0.52258	0.34148	0.37438	0.37747	
D00690	0.57329	0.61706	0.50858	0.61599	0.64157	0.46087	0.52455	0.54209	0.57823	0.5735	0.64365	0.53541	0.52026	0.61099	0.76091	0.41202	0.51995	0.48124	0.4451	0.70733	0.46087	0.62558	0.58553	0.41317	0.56003	0.46713	0.41692	0.64314	0.40773	0.43717	0.37629	1.0	0.36015	0.40941	0.56066	0.63375	0.67695	0.63375	0.67048	0.41169	0.43987	0.41222	0.62435	0.39875	0.54063	0.61779	0.57845	0.54332	0.41096	0.72081	0.38423	0.57906	0.54731	0.34985	
D00730	0.44673	0.46554	0.50678	0.45725	0.46169	0.46517	0.49648	0.44673	0.4479	0.44087	0.46401	0.43488	0.44557	0.44225	0.44499	0.72897	0.43168	0.4685	0.57747	0.45452	0.46517	0.44109	0.46554	0.67225	0.4876	0.62201	0.66247	0.50797	0.57553	0.55907	0.53089	0.45224	1.0	0.64737	0.44023	0.46253	0.42534	0.46253	0.48152	0.58682	0.50667	0.55844	0.43472	0.59515	0.47021	0.46109	0.417	0.42936	0.52797	0.43939	0.55907	0.45036	0.48122	0.44472	
D00898	0.41272	0.41088	0.46552	0.39985	0.43653	0.4803	0.47292	0.45328	0.4113	0.43303	0.43492	0.48079	0.45297	0.46565	0.44187	0.59127	0.47541	0.47298	0.59114	0.43943	0.4803	0.43775	0.40769	0.58427	0.50657	0.69341	0.8624	0.48314	0.49573	0.60341	0.5711	0.48078	0.59371	1.0	0.46549	0.43388	0.44571	0.43388	0.48314	0.61669	0.57319	0.5143	0.43808	0.56963	0.48451	0.40892	0.42082	0.45028	0.54304	0.45452	0.59929	0.43388	0.47435	0.4315	
D00930	0.59443	0.58078	0.51503	0.59393	0.6103	0.53055	0.54331	0.88963	0.58351	0.58841	0.58736	0.76888	0.76386	0.59045	0.54244	0.40503	0.79023	0.48195	0.47224	0.61179	0.53513	0.55925	0.60411	0.38543	0.55299	0.44968	0.40391	0.50762	0.39757	0.43018	0.34633	0.57908	0.35269	0.40531	1.0	0.5756	0.55946	0.5756	0.56107	0.40006	0.41036	0.41456	0.56346	0.39856	0.55678	0.5747	0.56281	0.62262	0.34558	0.57244	0.3813	0.5849	0.53314	0.41781	
D00950	0.62093	0.77053	0.73824	0.89607	0.85304	0.46135	0.77522	0.61027	0.69842	0.60134	0.98462	0.62252	0.61698	0.559	0.71969	0.39453	0.61039	0.64572	0.44883	0.76783	0.46135	0.60535	0.72109	0.40231	0.84253	0.37375	0.39905	0.70796	0.39385	0.34844	0.3058	0.67634	0.38383	0.38738	0.60432	1.0	0.69093	1.0	0.87553	0.3666	0.35962	0.38787	0.60611	0.37391	0.58638	0.77513	0.62144	0.6503	0.35401	0.73114	0.35752	0.91503	0.75382	0.44465	
D00951	0.56942	0.62254	0.56433	0.64271	0.6929	0.473	0.57424	0.58137	0.59676	0.58037	0.67637	0.5598	0.59291	0.58496	0.62253	0.38498	0.54659	0.53817	0.44187	0.65632	0.473	0.60216	0.6436	0.39818	0.6032	0.41862	0.38611	0.57806	0.41062	0.40833	0.33909	0.69767	0.33849	0.38407	0.56219	0.66432	1.0	0.66432	0.64959	0.38685	0.38817	0.42091	0.60102	0.395	0.54496	0.63296	0.59931	0.54872	0.38112	0.62548	0.41301	0.6191	0.60435	0.42182	
D00954	0.62093	0.77053	0.73824	0.89607	0.85304	0.46135	0.77522	0.61027	0.69842	0.60134	0.98462	0.62252	0.61698	0.559	0.71969	0.39453	0.61039	0.64572	0.44883	0.76783	0.46135	0.60535	0.72109	0.40231	0.84253	0.37375	0.39905	0.70796	0.39385	0.34844	0.3058	0.67634	0.38383	0.38738	0.60432	1.0	0.69093	1.0	0.87553	0.3666	0.35962	0.38787	0.60611	0.37391	0.58638	0.77513	0.62144	0.6503	0.35401	0.73114	0.35752	0.91503	0.75382	0.44465	
D00956	0.54006	0.67801	0.68724	0.83189	0.79538	0.44391	0.72716	0.56034	0.60747	0.57216	0.87181	0.55177	0.58983	0.58416	0.64902	0.41512	0.56408	0.54752	0.43323	0.73632	0.44391	0.58409	0.66183	0.48763	0.74867	0.46824	0.42959	0.67215	0.38541	0.44882	0.38023	0.70041	0.39781	0.42733	0.57475	0.85848	0.6608	0.85848	1.0	0.35442	0.42083	0.38358	0.57666	0.40763	0.65007	0.679	0.58497	0.59737	0.33721	0.66971	0.37501	0.78484	0.69219	0.43999	
D00961	0.39642	0.40005	0.38794	0.36547	0.44071	0.42143	0.37462	0.44212	0.37752	0.42764	0.38111	0.42535	0.3916	0.46762	0.44978	0.55334	0.42261	0.38596	0.48379	0.41886	0.42143	0.46027	0.40005	0.5415	0.36907	0.68929	0.60364	0.43455	0.55961	0.49417	0.45827	0.46234	0.51339	0.57997	0.43836	0.38091	0.42327	0.38091	0.38233	1.0	0.55859	0.56777	0.45222	0.59919	0.43811	0.39858	0.39535	0.4791	0.58545	0.44231	0.52875	0.37473	0.43358	0.34691	
D00962	0.36476	0.41074	0.38525	0.37497	0.34051	0.44566	0.37754	0.40772	0.40048	0.38497	0.35403	0.39684	0.39408	0.49848	0.41118	0.50537	0.41189	0.37797	0.50523	0.37343	0.45108	0.44014	0.36205	0.50083	0.37	0.64198	0.52206	0.44363	0.47814	0.66775	0.48305	0.47095	0.43283	0.51977	0.4254	0.34548	0.40078	0.34548	0.42238	0.53286	1.0	0.50223	0.43844	0.46958	0.46919	0.39037	0.40609	0.46019	0.52239	0.4229	0.4374	0.36414	0.36688	0.41048	
D00965	0.43146	0.40579	0.39636	0.41103	0.45899	0.42986	0.40143	0.46702	0.40651	0.45214	0.41755	0.44226	0.43122	0.48751	0.44994	0.49582	0.43872	0.43122	0.38003	0.46833	0.42986	0.44599	0.4277	0.57629	0.43655	0.62438	0.50183	0.42079	0.88259	0.47585	0.48347	0.46977	0.49005	0.48694	0.46107	0.41112	0.46573	0.41112	0.42079	0.58001	0.5368	1.0	0.44537	0.48898	0.49409	0.40406	0.41232	0.48272	0.49824	0.45765	0.40648	0.41987	0.47263	0.40465	
D01115	0.60272	0.59228	0.50888	0.53662	0.57441	0.46634	0.51782	0.55223	0.61419	0.59762	0.55839	0.58898	0.5445	0.60745	0.58465	0.40194	0.62152	0.46292	0.44927	0.58546	0.46634	0.86833	0.589	0.39243	0.54191	0.41741	0.36434	0.53302	0.39505	0.44837	0.34334	0.63471	0.34499	0.3711	0.55461	0.57199	0.58964	0.57199	0.5577	0.40799	0.41696	0.3945	1.0	0.42212	0.47585	0.60168	0.65305	0.59416	0.40282	0.59532	0.39298	0.61279	0.46873	0.40516	
D01132	0.44664	0.45525	0.41575	0.41758	0.44293	0.46528	0.41963	0.45678	0.45003	0.46575	0.41761	0.45455	0.44838	0.45987	0.45431	0.63256	0.45042	0.42545	0.5737	0.45724	0.46528	0.46925	0.43414	0.50038	0.43986	0.61439	0.61125	0.46301	0.53857	0.54681	0.56599	0.46782	0.53844	0.56396	0.45875	0.41684	0.45383	0.41684	0.46034	0.63183	0.52044	0.51178	0.48784	1.0	0.47882	0.45127	0.45533	0.49455	0.54145	0.47608	0.59725	0.44117	0.46426	0.442	
D01161	0.56961	0.53299	0.50207	0.54735	0.57575	0.4578	0.4958	0.54561	0.50948	0.54391	0.56288	0.52951	0.54552	0.54042	0.51866	0.4167	0.51896	0.46662	0.42955	0.55328	0.4578	0.48499	0.54168	0.42873	0.52442	0.4431	0.41993	0.53625	0.40752	0.45095	0.38353	0.55214	0.38078	0.41807	0.54912	0.55189	0.53474	0.55189	0.62963	0.39467	0.44747	0.44298	0.47459	0.41494	1.0	0.52512	0.56381	0.57369	0.37428	0.49665	0.38143	0.54554	0.53402	0.39816	
D01217	0.79395	0.96598	0.6411	0.79654	0.75015	0.44923	0.66554	0.61403	0.88752	0.741	0.75822	0.61541	0.60323	0.54264	0.69096	0.41328	0.6459	0.57175	0.48838	0.77691	0.44923	0.65068	0.80374	0.40002	0.6392	0.41678	0.36392	0.68731	0.37971	0.41278	0.31068	0.65923	0.38182	0.36135	0.60069	0.77337	0.65817	0.77337	0.6945	0.38273	0.40294	0.37763	0.63454	0.40547	0.55706	1.0	0.73183	0.69818	0.38175	0.79133	0.36789	0.68969	0.64432	0.44173	
D01294	0.65057	0.69962	0.59328	0.59069	0.56169	0.45895	0.54981	0.57495	0.74154	0.69771	0.58613	0.63	0.64039	0.55683	0.60986	0.37604	0.61072	0.5891	0.43475	0.59735	0.45895	0.70247	0.63561	0.37499	0.56493	0.41298	0.36014	0.53964	0.37549	0.43901	0.3583	0.60263	0.33088	0.36054	0.56828	0.59847	0.60351	0.59847	0.57636	0.36091	0.39604	0.37069	0.66695	0.39648	0.57658	0.7103	1.0	0.62306	0.38696	0.6329	0.37563	0.58623	0.54162	0.43579	
D01387	0.67943	0.66971	0.50283	0.60542	0.62925	0.46497	0.51896	0.58052	0.62848	0.65579	0.60774	0.62311	0.61382	0.56155	0.61875	0.3899	0.63334	0.52684	0.47666	0.73319	0.46497	0.58401	0.62238	0.36534	0.53509	0.44556	0.38695	0.5976	0.4231	0.43501	0.36173	0.54447	0.33751	0.37936	0.60518	0.61774	0.52895	0.61774	0.57761	0.42911	0.42996	0.42575	0.58602	0.42596	0.56323	0.65865	0.60097	1.0	0.40076	0.7196	0.36786	0.60193	0.53604	0.38856	
D01441	0.33879	0.37784	0.39328	0.33058	0.30517	0.39227	0.37738	0.34893	0.37261	0.4008	0.34185	0.3665	0.33087	0.46658	0.39523	0.4736	0.36656	0.34737	0.48962	0.37046	0.39227	0.40183	0.35876	0.46436	0.38865	0.56084	0.50204	0.39822	0.47316	0.55997	0.495	0.44319	0.44515	0.48889	0.362	0.34127	0.39513	0.34127	0.34031	0.55997	0.52239	0.4632	0.42683	0.49048	0.39727	0.37061	0.39844	0.43215	1.0	0.45635	0.48414	0.3196	0.38187	0.33683	
