	hsa10008	hsa10060	hsa10369	hsa1080	hsa11254	hsa11280	hsa1134	hsa1135	hsa1136	hsa1137	hsa1138	hsa1139	hsa1140	hsa1141	hsa1144	hsa1145	hsa116443	hsa116444	hsa1181	hsa169522	hsa170572	hsa200909	hsa22953	hsa23630	hsa23704	hsa2554	hsa2555	hsa2556	hsa2557	hsa2558	
hsa1138	0.0307723475011472	0.010326756396881	0.0198467935643638	0.0135102100933396	0.0161432868826908	0.0115831369700741	0.419992084342126	0.443228700567185	0.426060576828113	0.382076855587144	1	0.289891670668723	0.308943839642022	0.380465046930269	0.292007701429535	0.266544934484784	0.0129653589619783	0.0108137709375469	0.0123010904142903	0.0182578357700031	0.157398415598767	0.0574450797139199	0.0155137842043439	0.0251585785443509	0.025947147616693	0.0797495467124919	0.0849193975331305	0.076679325630443	0.0703870153126757	0.082302414819876	
hsa1139	0.02980294914379	0.0106274674607808	0.016591512774968	0.00968660756856423	0.0160595939144461	0.0103560929929926	0.320171546069095	0.345185852594942	0.35557785353119	0.287846205982943	0.289891670668723	1	0.271218418720033	0.327172771031133	0.252164775969281	0.226574580452761	0.0148187265392867	0.0104463273065016	0.0136336683804133	0.0203673141716659	0.164223573986413	0.0723087810825224	0.0166156200944985	0.0277166631882626	0.0235591443183452	0.0675723608557952	0.0736221984674236	0.0663967186845063	0.0576834676958576	0.0567941867839465	
hsa1140	0.0301861705407102	0.00837209396617626	0.017551737276922	0.0105119602167629	0.0183316323350372	0.0100195886573624	0.334519372090361	0.340834193955939	0.346865830169871	0.277465578457642	0.308943839642022	0.271218418720033	1	0.37214236265238	0.370121574936011	0.363654798283655	0.01520676365881	0.0174987697349372	0.0135862515502507	0.0163903291677427	0.163526581125852	0.0669384724452629	0.0171529119921553	0.0291959803875463	0.0254183023042353	0.0895958056871243	0.0814908747441152	0.081424349534716	0.0763802495728732	0.0805342652364234	
hsa1141	0.0287891784448103	0.0109029593665768	0.020479122630518	0.0139749045631642	0.0128717975186632	0.0104585415626622	0.393199851412758	0.447837311215062	0.439744742545595	0.375197747273179	0.380465046930269	0.327172771031133	0.37214236265238	1	0.379515174042767	0.318495173040991	0.0114209037137288	0.0107525467680378	0.0111036618191034	0.0149335120644594	0.161491933158988	0.0663498562284083	0.016134607299938	0.0302301209596331	0.0227577615394886	0.090264002241324	0.0966242948611989	0.0811859175454374	0.0724624251871135	0.0905295149709929	
hsa1144	0.0299579496357807	0.0108523065520166	0.0166778026461677	0.0113018588710771	0.0187055169393098	0.00885622902730102	0.309529377259275	0.313493071356425	0.339262827503865	0.261392380782718	0.292007701429535	0.252164775969281	0.370121574936011	0.379515174042767	1	0.424664372440192	0.0111718473192491	0.0157509855392414	0.0123783257739963	0.0154250448883418	0.150211392997451	0.0679955027614157	0.0202351582053623	0.0217314343211678	0.0200779390965417	0.080891063965569	0.0802502518276452	0.0670413293153608	0.0758027808392107	0.0663473317101318	
hsa1145	0.0346681921006794	0.0112831154476287	0.0182113084453815	0.00996777316660497	0.0173126833664103	0.00986141575762773	0.280328656728743	0.295284205404371	0.312213762857871	0.250631863439903	0.266544934484784	0.226574580452761	0.363654798283655	0.318495173040991	0.424664372440192	1	0.0108347150008615	0.0159175950312921	0.0133505601886882	0.0143551371949209	0.127773201671685	0.0564057852740218	0.0203859681028532	0.0233873619742529	0.0221348922387671	0.0723782927622113	0.0642514501495168	0.0591323996988339	0.0613846524249791	0.059390426897205	
hsa116443	0.0185065075257177	0.0072277571442552	0.0130391890901003	0.00799956476908396	0.011788992473436	0.00704319494676434	0.0135312579442056	0.0127567040951244	0.0120914525529405	0.0138331015452741	0.0129653589619783	0.0148187265392867	0.01520676365881	0.0114209037137288	0.0111718473192491	0.0108347150008615	1	0.443488710349914	0.00927227906390587	0.0172673647302872	0.0171828781557103	0.0169212264753352	0.0115176226969513	0.0154571194983939	0.0153259754349336	0.0110712344873394	0.0120422893840783	0.0117447429311641	0.012056238109139	0.0135712322054281	
hsa116444	0.0217911128178306	0.00673753217054868	0.0144676588927381	0.00775711829341082	0.0116103183580564	0.00703997727482341	0.0113674664205457	0.0129470435423962	0.0106197667635772	0.0135305898980849	0.0108137709375469	0.0104463273065016	0.0174987697349372	0.0107525467680378	0.0157509855392414	0.0159175950312921	0.443488710349914	1	0.011248138586028	0.0109480227497522	0.0146809434177801	0.021792389129825	0.0158967491304029	0.022140251883265	0.0172258110851954	0.0111914540832904	0.0117541426625565	0.0121005889760421	0.0147875261146759	0.0109708201333062	
hsa1181	0.0183865669326981	0.00724560700198862	0.0152709039225354	0.00809302769483291	0.0127088097850257	0.00995859195463938	0.0150254862558377	0.0148161891918454	0.0154248687381421	0.0179703945027385	0.0123010904142903	0.0136336683804133	0.0135862515502507	0.0111036618191034	0.0123783257739963	0.0133505601886882	0.00927227906390587	0.011248138586028	1	0.0145518204711365	0.0129977593794078	0.0125234763446873	0.0137245701108436	0.0187077315563329	0.0164986528368792	0.0138993962588159	0.0109601318974491	0.0118752458829783	0.0118701908575614	0.0127152068545034	
hsa169522	0.0233286986325573	0.0100139737394983	0.0272693284558594	0.0117833586723933	0.0153805929341221	0.027075782868094	0.0148938999338962	0.0177088617154424	0.0144654659743727	0.0142817340114275	0.0182578357700031	0.0203673141716659	0.0163903291677427	0.0149335120644594	0.0154250448883418	0.0143551371949209	0.0172673647302872	0.0109480227497522	0.0145518204711365	1	0.0158917432060265	0.0177812927848605	0.0164807305293955	0.0253545657435377	0.0279111086032605	0.0125540276525911	0.0136038028203415	0.0173852277007177	0.0145131187159646	0.0140416257500907	
hsa170572	0.0292439119132445	0.0110586938742004	0.0174345569360585	0.011897300176297	0.0153414639416134	0.0134552237572482	0.145068928984132	0.162167358677633	0.168203072893108	0.146649079808951	0.157398415598767	0.164223573986413	0.163526581125852	0.161491933158988	0.150211392997451	0.127773201671685	0.0171828781557103	0.0146809434177801	0.0129977593794078	0.0158917432060265	1	0.411109924887202	0.0188868993654893	0.0279997120189291	0.022566816852025	0.0729496902468048	0.0807905507256105	0.0764758691910117	0.0762048840990249	0.0791823096392275	
hsa200909	0.0386552653819838	0.0102933400640334	0.0204980194745478	0.0140730911863097	0.02523314845445	0.0129947342105408	0.0796905547367347	0.070228955999946	0.069557203599066	0.0624922713172772	0.0574450797139199	0.0723087810825224	0.0669384724452629	0.0663498562284083	0.0679955027614157	0.0564057852740218	0.0169212264753352	0.021792389129825	0.0125234763446873	0.0177812927848605	0.411109924887202	1	0.0194975613975211	0.0285633478807691	0.0305568744691781	0.0299870318509935	0.0290645832029617	0.030280119876128	0.0278531893949189	0.0287233982946347	
hsa22953	0.033216122087943	0.0101524925784014	0.0201353525664758	0.00809697233476132	0.0142054076374236	0.0115421211353847	0.0184219031545903	0.0174730059462748	0.0162418151723524	0.0235300172063489	0.0155137842043439	0.0166156200944985	0.0171529119921553	0.016134607299938	0.0202351582053623	0.0203859681028532	0.0115176226969513	0.0158967491304029	0.0137245701108436	0.0164807305293955	0.0188868993654893	0.0194975613975211	1	0.0308909049198427	0.0205491502716752	0.0154045356644442	0.0141949536598928	0.0159284192382303	0.0178756581835767	0.0150547836910766	
hsa23630	0.189158461721633	0.0146774011615361	0.0249510560962444	0.0133779967525531	0.0216867315080088	0.0152418867775677	0.0289997694279894	0.0297714520459601	0.0236685460359121	0.0219037663786063	0.0251585785443509	0.0277166631882626	0.0291959803875463	0.0302301209596331	0.0217314343211678	0.0233873619742529	0.0154571194983939	0.022140251883265	0.0187077315563329	0.0253545657435377	0.0279997120189291	0.0285633478807691	0.0308909049198427	1	0.0970454488038922	0.0249426801996855	0.0198208279659188	0.0230276257011013	0.0239385362924379	0.0195881541537643	
hsa23704	0.135414580579559	0.0138619785760145	0.0283217499899846	0.019467150446555	0.0214027720014507	0.0209851891598435	0.0262464422974987	0.0250056456618342	0.0197850260792103	0.0248365130741556	0.025947147616693	0.0235591443183452	0.0254183023042353	0.0227577615394886	0.0200779390965417	0.0221348922387671	0.0153259754349336	0.0172258110851954	0.0164986528368792	0.0279111086032605	0.022566816852025	0.0305568744691781	0.0205491502716752	0.0970454488038922	1	0.0290804041951008	0.0294113163666145	0.0281900457594953	0.0346836461935598	0.0290660612081887	
hsa2554	0.0263759368742708	0.0110240698815593	0.0213299638748039	0.00945097779503025	0.0131086550546961	0.00877647048271885	0.0901792523860238	0.0776805985861162	0.070567738629755	0.0769565867692189	0.0797495467124919	0.0675723608557952	0.0895958056871243	0.090264002241324	0.080891063965569	0.0723782927622113	0.0110712344873394	0.0111914540832904	0.0138993962588159	0.0125540276525911	0.0729496902468048	0.0299870318509935	0.0154045356644442	0.0249426801996855	0.0290804041951008	1	0.748800011102847	0.667307986114328	0.48564165221911	0.694951572812211	
hsa2555	0.0301860841110446	0.0115150730164121	0.0219721762329233	0.00955852250328464	0.0143626396971147	0.0108860771466273	0.0928637018778	0.0706777547363022	0.0798973374210342	0.0764374483671376	0.0849193975331305	0.0736221984674236	0.0814908747441152	0.0966242948611989	0.0802502518276452	0.0642514501495168	0.0120422893840783	0.0117541426625565	0.0109601318974491	0.0136038028203415	0.0807905507256105	0.0290645832029617	0.0141949536598928	0.0198208279659188	0.0294113163666145	0.748800011102847	1	0.675546648406707	0.475923680781319	0.715499738922997	
hsa2556	0.032969755038927	0.0115624908042786	0.0187623737255215	0.0123951275365567	0.0161488676538884	0.00931037905306382	0.0820141871531635	0.0694873968868893	0.0729474552406945	0.0754025519678594	0.076679325630443	0.0663967186845063	0.081424349534716	0.0811859175454374	0.0670413293153608	0.0591323996988339	0.0117447429311641	0.0121005889760421	0.0118752458829783	0.0173852277007177	0.0764758691910117	0.030280119876128	0.0159284192382303	0.0230276257011013	0.0281900457594953	0.667307986114328	0.675546648406707	1	0.485968342662188	0.676224740443288	
hsa2557	0.0254352128957358	0.0102649041794034	0.0256924663527169	0.00848843561104474	0.013009821243433	0.0101641231238569	0.0838164432534387	0.0736374398593182	0.0746602356484052	0.0717647244627003	0.0703870153126757	0.0576834676958576	0.0763802495728732	0.0724624251871135	0.0758027808392107	0.0613846524249791	0.012056238109139	0.0147875261146759	0.0118701908575614	0.0145131187159646	0.0762048840990249	0.0278531893949189	0.0178756581835767	0.0239385362924379	0.0346836461935598	0.48564165221911	0.475923680781319	0.485968342662188	1	0.474555150021519	
hsa2558	0.0235878827505949	0.0110186326087839	0.0232934660973518	0.012039422862779	0.014194038761943	0.0107582870727984	0.0862016205413925	0.0710471875193298	0.0705329333311496	0.0725075261230942	0.082302414819876	0.0567941867839465	0.0805342652364234	0.0905295149709929	0.0663473317101318	0.059390426897205	0.0135712322054281	0.0109708201333062	0.0127152068545034	0.0140416257500907	0.0791823096392275	0.0287233982946347	0.0150547836910766	0.0195881541537643	0.0290660612081887	0.694951572812211	0.715499738922997	0.676224740443288	0.474555150021519	1	
